Gene,Log2FoldChange,PValue,AdjustedPValue
201075_s_at,0.7027242801364952,0.0002980383567362825,0.0009766346854350847
201096_s_at,0.5616730443834848,2.1819694770109786e-05,0.0001169144255018331
201101_s_at,0.6558927128102665,4.5076779135423856e-06,3.242315305401833e-05
201109_s_at,0.5189439209845284,5.265123558186071e-06,3.6619271462196576e-05
201118_at,0.6693925255222646,0.0066412792617368925,0.01282075055619778
201120_s_at,0.6056373274035098,0.00040964424363847075,0.0012606256151198513
201123_s_at,1.3796078481315974,1.3948712289498528e-05,8.100231988956066e-05
201130_s_at,0.6266020803453514,1.337406172780158e-11,5.901181269318888e-10
201149_s_at,0.520738157983553,0.002539932226870672,0.005671464754154636
201156_s_at,0.8822500833274738,0.00010805818767341217,0.0004295533808334044
201167_x_at,0.5666315586160446,4.160638128535301e-06,3.038173827829562e-05
201169_s_at,1.2680379532129402,2.0940948513664475e-32,2.4059539000007123e-29
201179_s_at,0.5794499836846327,2.3073218807994734e-06,1.8744715589676875e-05
201188_s_at,0.5694797037656771,0.0005662956718272287,0.001643324685139205
201195_s_at,0.8477323863814048,1.9920610758078122e-06,1.6659252087494672e-05
201196_s_at,0.5518858692149577,9.84525431216248e-05,0.000398668072133547
201203_s_at,0.63179295419055,0.00010766658622624811,0.00042825782473375284
201211_s_at,0.5030585100246379,5.8680784488612125e-08,8.707960229725889e-07
201262_s_at,0.9212638918795384,0.00014989286253571678,0.0005590532409973373
201291_s_at,1.2325056362217834,2.724446661042002e-09,6.333437405342154e-08
201292_at,1.0522369336995347,6.859260204690243e-15,6.227958080076199e-13
201295_s_at,0.7102993452410198,4.835191755725862e-11,1.8329549254700883e-09
201298_s_at,0.5511290918498384,5.150559760004483e-07,5.443632972852673e-06
201309_x_at,0.8206610830338366,5.5463050499403695e-11,2.0555735043649966e-09
201337_s_at,0.7987249236762128,4.3642994505436444e-05,0.00020498483205446503
201340_s_at,0.6328272205570409,0.0001372487446771963,0.0005202251619080329
201364_s_at,0.5833887598511356,0.0010438593356432585,0.0027122002326115872
201367_s_at,0.6177203676556591,0.00039791427602273307,0.001233236065077982
201376_s_at,0.5154962722785879,0.00011475244184145003,0.00045041409712126324
201386_s_at,0.5661942382956635,0.0036905502158274227,0.0077522056147385394
201392_s_at,0.6711276176302103,8.864153321538147e-05,0.00036494851535703686
201399_s_at,0.7287262527063874,1.547549381311219e-06,1.3560331507699769e-05
201435_s_at,0.549969240906345,5.396552939324096e-05,0.00024388173888576309
201444_s_at,0.5058393640167722,0.0001638378917441833,0.0006008797424410367
201445_at,0.7753591199130745,0.000258259028494869,0.0008680897602339065
201461_s_at,1.0127677852833652,5.724393637349435e-09,1.1932943945213004e-07
201467_s_at,0.8401180110286268,0.0010710517810505644,0.0027710426817549334
201476_s_at,0.7577171142861863,1.260822363440438e-08,2.3554274947275026e-07
201490_s_at,1.0213838523366143,3.97987885011843e-06,2.930415109951633e-05
201496_x_at,-0.6529247557486595,0.0003603314121918726,0.00113806512423299
201497_x_at,-0.7723466829067394,6.193117664122392e-16,7.115415802410158e-14
201504_s_at,0.8560190789936373,6.171143853405365e-08,9.081005378764782e-07
201521_s_at,0.5513663837855538,0.0003071099884301145,0.0010005441786873576
201523_x_at,0.9790496813252396,1.5996383251171151e-06,1.3915083298747369e-05
201525_at,-0.8513981439923795,1.327548238719268e-23,5.28753613160293e-21
201529_s_at,0.5475254306416315,0.0007384738648580639,0.0020402970117499152
201540_at,-0.5558845200304967,4.70921073171442e-09,1.0091358893670958e-07
201551_s_at,1.5680496641628914,1.4949815187234576e-05,8.576548478453451e-05
201554_x_at,0.5839912223160333,0.001059036211975804,0.002745186543226416
201559_s_at,0.6556912455759623,1.1963057436596781e-08,2.247550010981252e-07
201562_s_at,0.5182875624080272,0.0002731817576686309,0.0009089424665936003
201571_s_at,0.6305994181160033,0.00015457733152109796,0.0005728239731048553
201583_s_at,0.5700171006977555,0.00020779888175859868,0.0007264327906252615
201629_s_at,0.6423811715850674,4.00816559819498e-06,2.9505155926387493e-05
201646_at,0.6576806685373073,1.51467364567927e-05,8.681184026042048e-05
201663_s_at,1.3011249673484389,4.9319646009091645e-12,2.3916825739993276e-10
201668_x_at,0.6226663732347335,0.0004018490512732523,0.0012427440636584935
201688_s_at,1.1589184687728085,4.114409866378915e-08,6.509833237736808e-07
201689_s_at,0.6732327247542202,1.3059513291644462e-05,7.68242971736911e-05
201695_s_at,1.2509438900644785,1.8686938281943915e-17,2.7363540213638656e-15
201708_s_at,0.86481330420105,5.810049489280995e-05,0.00025884503429397614
201727_s_at,0.5696126570955284,8.89651134768276e-08,1.237228058556701e-06
201742_x_at,0.9878781606780418,3.075320148558049e-05,0.00015405997564602722
201774_s_at,0.6539681974237985,1.0532427740422488e-07,1.4262224907611087e-06
201790_s_at,0.5178408692103824,0.0001493373049216419,0.0005572075908842477
201801_s_at,0.6010230625312678,0.003978469465093617,0.008264149657620892
201820_at,-1.2728145296643796,5.7952610471982074e-24,2.404389416693123e-21
201830_s_at,0.505526183632409,0.00011253685611717755,0.0004434961696480644
201835_s_at,0.7423916219737778,1.2166945332370884e-09,3.117075394241707e-08
201843_s_at,-0.5661223627291267,2.4353269841972115e-09,5.7508369701137626e-08
201856_s_at,0.6342659787155847,1.9153460062369478e-05,0.00010501517159834264
201858_s_at,0.532336345550998,0.00314723799769484,0.006791958782483764
201879_at,0.6621881744391609,6.7788992527281365e-06,4.503987510620438e-05
201890_at,1.0946645973679048,3.1127286671567526e-07,3.5422259331545336e-06
201896_s_at,0.7133694898026941,5.5812337645006964e-12,2.668194016706518e-10
201908_at,0.704520099434347,0.0015759160205947825,0.003805947398108767
201912_s_at,0.6379749181550944,7.533754178418993e-06,4.912888169648464e-05
201940_at,0.5387705088498702,0.0004018782691129167,0.0012427440636584935
201943_s_at,0.7527411490301268,1.9404404043504545e-06,1.6286832188467764e-05
201946_s_at,0.8314574199287144,6.427527587408794e-05,0.0002811723210940542
201971_s_at,1.1350657589104252,1.764921059398584e-14,1.448398952921827e-12
201979_s_at,0.675505373201104,1.5819163454637354e-06,1.3802440996717604e-05
202018_s_at,-0.8446465473380336,4.8073582327821146e-11,1.8247192519652774e-09
202022_at,-0.5062317913926995,3.5605024703024506e-05,0.00017380821748723367
202024_at,0.6761180245459357,0.006086235917684136,0.011885985835058871
202035_s_at,-1.0983173078413246,8.94221363671273e-15,7.866293041660533e-13
202036_s_at,-0.9672094227508352,3.0507795421615004e-32,3.375292091979568e-29
202037_s_at,-0.8454100165868192,8.041357403898839e-25,3.8128798153851764e-22
202058_s_at,0.924551452228205,1.0400367813563306e-08,2.0108724098819615e-07
202065_s_at,0.5091302229413315,0.00020912524750120752,0.00072993302136486
202067_s_at,0.9743275268594103,4.849891376142529e-05,0.00022343608141290813
202068_s_at,0.6102340318573876,0.0012333604746644629,0.0031080600724799085
202094_at,0.6100307451171278,1.2973347284347643e-06,1.170815196610371e-05
202095_s_at,1.285854973426812,1.8975585382031186e-07,2.329793203995214e-06
202112_at,-0.519751715213669,1.4619310097528814e-20,3.579574026503121e-18
202128_at,0.7259275832846375,9.750794531797482e-05,0.00039537903387247775
202129_s_at,0.664939731846081,3.7170553395946792e-06,2.7682841462072367e-05
202131_s_at,0.5391857274474048,0.00038992937532491884,0.0012125769835057698
202137_s_at,0.5269690839527046,6.63936509890235e-05,0.00028843689419117893
202143_s_at,0.7705590170988561,1.6166904515971343e-05,9.151748563598559e-05
202164_s_at,0.5291290393890526,0.0009701433003931918,0.0025553408578913167
202166_s_at,0.6074655703321574,4.251412646992448e-05,0.00020078766575645597
202190_at,0.5635010492495129,9.941423687351134e-06,6.168886755059267e-05
202206_at,0.6118636284413816,1.2236680655232282e-05,7.288816042534372e-05
202226_s_at,0.5396884481563053,0.0007015790244396636,0.0019526734463244054
202236_s_at,0.5379105819157846,4.713702838302463e-06,3.359319062278535e-05
202240_at,0.5964705229508747,1.457254306980005e-14,1.2331756560370173e-12
202272_s_at,0.5532072645108443,3.648260957935828e-09,8.218767069039145e-08
202274_at,-0.6204768364482063,4.132588585433605e-08,6.535134262788388e-07
202278_s_at,0.6532406571298184,1.852285668315104e-05,0.00010225739693939899
202290_at,0.8297740786465484,0.0003814691561775727,0.001190738643939464
202311_s_at,0.5454733918191597,2.7916852632084668e-05,0.00014243078084126955
202316_x_at,0.5751065449213271,8.643580147970432e-06,5.4994893755095366e-05
202338_at,0.664403136337703,5.427603440081376e-06,3.7579680969860416e-05
202350_s_at,-0.8248401514169785,1.4711449021053381e-33,1.9975472961677574e-30
202366_at,-0.525500119337901,4.211829544864904e-06,3.067181183915271e-05
202374_s_at,0.805032398126845,8.435625084711739e-05,0.0003503253058953275
202407_s_at,0.7909678139330509,5.07871084804982e-06,3.5612969589893004e-05
202433_at,0.5706695802582451,0.0012321486693345827,0.003105530294495668
202444_s_at,0.6106927468898233,6.998754252615702e-10,1.935420672070461e-08
202453_s_at,0.6285984202852686,0.0004864508172419641,0.0014476249066200388
202479_s_at,0.5893506862824631,0.00010835649466796117,0.0004305433903593158
202480_s_at,0.7712545129014228,2.909756544246963e-06,2.2653178913147062e-05
202495_at,0.5011351479178408,0.0009592300483271518,0.0025319770298317876
